Date,APCalculator,Spere,Flashpilot,Gamez4school,Total
20160321,366,201,210,850,1627
20160322,331,91,204,819,1445
20160323,298,248,216,811,1573
20160324,415,102,170,1124,1811
20160325,273,286,91,404,1054
20160326,212,328,69,83,692
20160327,267,292,102,98,759
20160328,381,317,254,685,1637
20160329,514,156,330,1004,2004
20160330,580,180,327,907,1994
20160331,565,70,344,1117,2096
20160401,742,45,188,1098,2073
20160402,741,107,114,127,1089
20160403,1858,88,261,105,2312
20160404,1256,136,317,1372,3081
20160405,1145,194,299,1432,3070
20160406,1194,179,276,1503,3152
20160407,1288,145,475,1675,3583
20160408,958,131,213,1605,2907
20160409,826,93,152,210,1281
20160410,1413,135,273,167,1988
20160411,1873,90,367,1433,3763
20160412,1796,82,417,1446,3741
20160413,1760,212,410,1661,4043
20160414,1929,73,342,1876,4220
20160415,1786,73,177,2028,4064
20160416,1514,65,117,120,1816
20160417,1803,103,205,91,2202
20160418,2681,66,114,1757,4618
20160419,2883,91,229,1955,5158
20160420,2930,49,177,2273,5429
20160421,3616,40,137,2179,5972
20160422,3098,34,233,2536,5901
20160423,3205,86,90,204,3585
20160424,2955,53,112,136,3256
20160425,5381,32,120,2341,7874
20160426,6311,51,178,2426,8966
20160427,6919,54,213,2367,9553
20160428,8365,54,165,2759,11343
20160429,9016,71,307,2831,12225
20160430,8227,41,142,195,8605
20160501,11965,129,66,192,12352
20160502,21688,180,206,1910,23984
20160503,22914,57,220,2195,25386
20160504,21748,68,198,2404,24418
20160505,35562,72,330,2812,38776
20160506,37213,79,277,3081,40650
20160507,15410,99,164,257,15930
20160508,15258,145,142,161,15706
20160509,25737,90,185,2548,28560
20160510,16647,164,277,2577,19665
20160511,16071,149,217,2622,19059
20160512,12113,185,281,3037,15616
20160513,4823,162,228,3118,8331
20160514,2034,268,98,436,2836
20160515,1930,483,129,152,2694
20160516,2321,92,344,2401,5158
20160517,2252,60,425,3150,5887
20160518,2620,59,383,2895,5957
20160519,1886,37,259,2689,4871
20160520,444,20,82,1320,1866
